,Interested_in,City,Disposition,Referer,Campaign,Disp
55,",Credit Card",Guwahati,Not Contactable-Ringing No Response,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
56,",Credit Card,Loans,Current Account,Trading Account",Jamnagar,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
57,",Current Account",Faridabad,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
58,",Credit Card",Agra,Not Contactable-Not reachable / Switched Off ,Yes First,YES_First_Savings,NC
59,",Current Account",Bangalore,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
60,",Loans",Tiruppur,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
61,",Credit Card,Trading Account",Bhubhaneshwar,Not Contactable-Number temporary Not in Service ,Yes First,YES_First_Savings,NC
62,",Trading Account",Moradabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
63,Saving Account,Hyderabad,Not Contactable-Not reachable / Switched Off ,Yes First,banners_bookmyshow_yesfirst,NC
64,",Loans",Ratlam,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
65,",Credit Card",Sagar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
66,",Loans",Bagalkote,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
67,",Loans",Thrissur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
68,",Current Account",Jhansi,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,Customer Disconnected
69,",Credit Card,Loans,Current Account,Trading Account",Siliguri,Not Contactable-Number temporary Not in Service ,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
70,Saving Account,Hyderabad,Customer Disconnected,Yes First,,Customer Disconnected
71,",Credit Card",Vizag,Not Contactable-Busy,Yes First,,NC
72,,Narnaul,Not Contactable-Busy,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
73,",Credit Card,Loans,Current Account,Trading Account",Jhalawar,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
74,,Salem,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
75,",Credit Card,Loans,Trading Account",Dausa,Not Contactable-Number temporary Not in Service ,Yes First,Search_India_YES_First_Advantage_Exclusive_BMM,NC
76,,Mumbai,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_Exact-google,Customer Disconnected
77,",Current Account",Agra,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
78,",Loans",Siliguri,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
79,,SALEM,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
80,",Loans",Imphal,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
81,",Credit Card",Kalyan - Dombivili,Not Contactable-Busy,Savings Account-SeniorcitizenFD,Search_PAN_India_Senior_Citizen_Fixed_Deposit_Core_BMM,NC
82,",Loans",Indore,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
83,",Loans",Fatehabad,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
84,,Hyderabad,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
85,",Loans",Mumbai,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
86,,Gopalganj,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
87,",Current Account",Bijnor,Customer Disconnected,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,Customer Disconnected
88,",Current Account",Indore,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
89,",Credit Card",Gorakhpur,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
90,,Osmanabad,Not Contactable-Busy,Savings Account customizable - Wishfin,Deal4loans,NC
91,",Current Account",Barddhaman,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_Green_FD_Investment-facebook,NC
92,",Credit Card",Sangli,Customer Disconnected,Yes First,YES_First_Savings,Customer Disconnected
93,,Haridwar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_Exact-google,NC
94,",Credit Card,Loans",Hyderabad,Customer Disconnected,Yes First,banners_bookmyshow_yesfirst,Customer Disconnected
95,",Loans",Nellore,Not Contactable-Language Barrier,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
96,,Nagda,Not Contactable-Number temporary Not in Service ,Savings Account customizable - Wishfin,Deal4loans,NC
97,",Trading Account",Bharatpur,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
98,",Loans",Hyderabad,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
99,",Trading Account",Nellore,Not Contactable-Language Barrier,Savings Account customizable,mailer_way2online-affiliate,NC
100,",Current Account",Silchar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
101,Saving Account,Junagadh,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
102,",Loans",Bangalore,Not Contactable-Language Barrier,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
103,",Loans",Mysore,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
104,",Loans",Surat,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
105,",Credit Card,Loans,Current Account,Trading Account",Surat,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
106,",Loans",Dewas,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
107,,Bharuch,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
108,,Bhopal,Not Contactable-Ringing No Response,Savings Account customizable - Wishfin,Deal4loans,NC
109,,Amritsar,Not Contactable-Ringing No Response,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
110,",Credit Card",Mathura,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_Green_FD_Competitor-facebook,NC
111,"Savings Account ,",Guntur,Not Contactable-Busy,Current Account,,NC
112,,Dahod,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
113,",Loans",Ahmedabad,Not Contactable-Wrong Number / Number does not exist,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
114,,KOTPUTLI,Not Contactable-Busy,Savings Account customizable - Wishfin,Deal4loans,NC
115,,BARMER,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
116,",Current Account,Trading Account",Allahabad,Not Contactable-Ringing No Response,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
117,",Loans",Nagpur,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
118,",Credit Card,Loans,Current Account",Vijayawada,Not Contactable-Language Barrier,Yes First,YES_First_Savings,NC
119,",Loans",Kannur,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
120,,Kangra,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
121,",Current Account",Jamnagar,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
122,",Credit Card,Loans",Bangalore,Not Contactable-Ringing No Response,Yes First,banners_bookmyshow_yesfirst,NC
123,",Loans,Current Account",Howrah,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
124,",Loans",Amritsar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
125,",Loans",Hyderabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
126,,Lucknow,Not Contactable-Not reachable / Switched Off ,Savings Account customizable - Wishfin,Deal4loans,NC
127,",Credit Card",Chittaurgarh,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
128,",Credit Card,Loans,Trading Account",New Delhi,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
129,",Loans",Yamuna Nagar,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_BMM-google,NC
130,",Loans",Pune,Customer Disconnected,Yes First,YES_First_Savings,Customer Disconnected
131,",Loans",Udaipur,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
132,",Credit Card,Loans,Current Account,Trading Account",Ahmednagar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
133,",Credit Card,Trading Account",Hyderabad,Not Contactable-Busy,Yes First,YES_First_Savings,NC
134,",Credit Card,Current Account,Trading Account",Kolkata,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,Customer Disconnected
135,",Loans",Indore,Not Contactable-Ringing No Response,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
136,",Loans",Jaipur,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
137,,Bangalore,Not Contactable-Busy,Savings Account customizable,PB_70pecent_savings-aPB1,NC
138,",Credit Card,Loans,Current Account,Trading Account",Hyderabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
139,Saving Account,Palghar,Not Contactable-Not reachable / Switched Off ,Yes First,Search_India_YES_First_Advantage_Exclusive_BMM,NC
140,",Credit Card,Loans,Current Account,Trading Account",Dhanbad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
141,",Credit Card",Mathura,Not Contactable-Ringing No Response,Yes First,,NC
142,",Credit Card,Loans,Current Account",Agartala,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
143,",Loans",Batala,Customer Disconnected,Savings Account-SeniorcitizenFD,YESBANK_FD,Customer Disconnected
144,,Patna,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Yes_Insta_Mobile_Exact_New_LP-google,NC
145,",Credit Card",Durgapur,Customer Disconnected,Savings Account-6 percent,Search_PAN_India_Brand_Max_Imp_Share_Exact-google,Customer Disconnected
146,Saving Account,Coimbatore,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
147,",Credit Card,Loans,Current Account,Trading Account",Gwalior,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
148,,East Delhi,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
149,,Kolkata,Not Contactable-Busy,Current Account,YES_Bank_Current_Account_Brand_Exact_Mobile,NC
150,,Gurgaon,Not Contactable-Ringing No Response,Savings Account-6 percent,Search_PAN_India_Brand_Max_Imp_Share_Exact-google,NC
151,,Ludhiana,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
152,",Current Account,Trading Account",Chhindwara,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
153,",Credit Card,Loans,Current Account,Trading Account",Noida,Not Contactable-Ringing No Response,Savings Account customizable,Display_snapdeal-affiliate,NC
154,",Credit Card",Hyderabad,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
155,Saving Account,Kolkata,Customer Disconnected,Savings Account-SeniorcitizenFD,YESBANK_FD,Customer Disconnected
156,",Loans",Aligarh,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
157,",Credit Card",Hyderabad,Customer Disconnected,Savings Account-6 percent,Search_PAN_India_Brand_Max_Imp_Share_Exact-google,Customer Disconnected
158,,Ratnagiri,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
159,,Anantapur,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
160,",Loans",Malappuram,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
161,",Credit Card",Saharanpur,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
162,",Trading Account",Firozabad,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
163,",Trading Account",Ambala,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
164,,Kaithal,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
165,Saving Account,Baghpat,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_BMM-google,Customer Disconnected
166,",Credit Card,Trading Account",Ahmedabad,Customer Disconnected,Savings Account-70 percent,Search_PAN_India_Brand_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
167,",Current Account",Kurukshetra,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
168,",Current Account",Gurgaon,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
169,,Kanpur,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,,NC
170,",Current Account",Siliguri,Not Contactable-Busy,Yes First,YES_First_Savings,NC
171,",Trading Account",Bangalore,Customer Disconnected,Savings Account customizable,Search_SQR_PAN_India_Brand_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
172,",Credit Card",Bhopal,Not Contactable-Busy,Yes First,YES_First_Savings,NC
173,",Credit Card",Nashik,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Adcanopus_1503-affiliate,NC
174,,Srikakulam,Not Contactable-Language Barrier,Savings Account customizable - Wishfin,Deal4loans,NC
175,"POS Machine,",Guwahati,Not Contactable-Ringing No Response,Current Account,YES_Bank_Current_Account_Brand_BMM_Mobile,NC
176,,tonk,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
177,",Credit Card",Panipat,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_Green_FD_Investment-facebook,NC
178,",Loans,Current Account",Palghar,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,Yes_Bank_WC_Savings_Account_Investment-facebook,NC
179,",Trading Account",Vijayawada,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
180,,Sangli,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
181,Saving Account,Ahmednagar,Not Contactable-Ringing No Response,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
182,Saving Account,Ferozepur,Not Contactable-Ringing No Response,Savings Account-SeniorcitizenFD,YESBANK_FD,NC
183,",Credit Card",Nagpur,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
184,,Anantnag,Customer Disconnected,Savings Account-SeniorcitizenFD,YESBANK_FD,Customer Disconnected
185,",Loans",Alwar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
186,",Loans",Allahabad,Not Contactable-Wrong Number / Number does not exist,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
187,,Vijayawada,Customer Disconnected,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,Customer Disconnected
188,",Loans",Daman,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
189,",Loans,Current Account",Noida,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
190,",Credit Card,Trading Account",Pune,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,PB_6pecent-aPB,NC
191,",Loans",East Delhi,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
192,",Trading Account",East Delhi,Not Contactable-Number temporary Not in Service ,Savings Account customizable,-YesCommunity,NC
193,",Credit Card,Current Account",Mangalore,Not Contactable-Not reachable / Switched Off ,Yes First,YES_First_Savings,NC
194,",Trading Account",Kolkata,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
195,",Loans",Guwahati,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
196,,New Delhi,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
197,"POS Machine, Business Loan, Business Credit Cards, Savings Account ,",Indore,Not Contactable-Ringing No Response,Current Account,Current_Account_Lookalike,NC
198,",Credit Card,Loans,Current Account",Gurgaon,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
199,",Loans",Narasaoropet,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
200,",Credit Card",Panvel,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_Icubes_70percent_SA_3618-affiliate,NC
201,,Ajmer,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,Customer Disconnected
202,,Raipur,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
203,,Gurgaon,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_Exact-google,Customer Disconnected
204,",Loans,Trading Account",Meerut,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
205,",Credit Card,Loans,Current Account,Trading Account",Pune,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
206,,Jammu,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
207,",Current Account",Sagar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
208,",Credit Card",Ferozepur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
209,",Credit Card",Surat,Not Contactable-Ringing No Response,Yes First,,NC
210,",Credit Card",Chennai,Not Contactable-Language Barrier,Yes First,banners_bookmyshow_yesfirst,NC
211,",Trading Account",Narsinghpur,Customer Disconnected,Savings Account-fixed deposit,mailer_Icubes_Fixeddeposit_SA_3010-affiliate,Customer Disconnected
212,",Current Account",Anand,Not Contactable-Busy,Yes First,YES_First_Savings,NC
213,,Dhule,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,Customer Disconnected
214,",Credit Card",Jaipur,Customer Disconnected,Savings Account customizable,mailer_netcore_6percent_SA_2343-affiliate,Customer Disconnected
215,",Loans",Madurai,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
216,",Loans",Sirsa,Customer Disconnected,Yes First,Search_India_YES_First_Advantage_Exclusive_BMM,Customer Disconnected
217,",Credit Card",Patna,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
218,",Current Account,Trading Account",Rajkot,Not Contactable-Number temporary Not in Service ,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
219,",Trading Account",Ahmedabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_BMM-google,NC
